userName;score;content;at;
dian syahputra87;2;ini la kurangnya mandiri tentang penanganan egak gercep;30/12/2025 05:37;
Eka Manoppo;5;bagus;30/12/2025 05:36;
Rismasiti Nuraisah;1;kenapa ga bisa buka rekening baru ? ko ga muncul verifikasi apapun.;30/12/2025 05:28;
Anggun Oke;1;aplikasinya baru beberapa bulan udah minta update trus😭;30/12/2025 05:10;
Farid Isnawan;5;mudah;30/12/2025 04:57;
Black Strett;5;"Orang"" Karyawan nyaa pada ramah, sopan, baik..";30/12/2025 04:55;
Ibnu Tri Prakosa;1;hp saya Xiaomi redmi note 7 sudah android 10 kenapa tidak bisa menggunakan aplikasi ini? tolong dibantu lah biar lebih mudah akses dan penggunaannya. speknya harus apa biar bisa akses?;30/12/2025 04:49;
winawan hanif;1;parah, aplikasi lemot , login dari jam 9 pagi sampai jam 11.24 blm bisa masuk juga. ngapain di update kalo malah bikin masalah.;30/12/2025 04:24;
Danang Aryanto;4;kenapa fitur tidak tersedia terus ya;30/12/2025 03:47;
Mbah Uti;5;kapan ya livin ada KSM lagi... mumpung saya masih kerja,kalau ngumpulin kepakek terus ..kalau ada KSM kan bisa beli kebun...tolong adakan lagi KSM nya ya min...;30/12/2025 03:44;
Ndne Dwi;5;untuk aplikasinya bagus, cuma aku ada masukan untuk fiturnya di tingkatan lagi...misal pembelian paket data atau pulsa. sama untuk tombol pin tata letak angka di buat acak tiap memasukkan pin. jadi lebih aman;30/12/2025 03:15;
Kingpanjiii;3;buatkan fitur² invest tambahan seperti emas, reksadana, saham;30/12/2025 03:10;
Jamilah;5;mantab;30/12/2025 02:54;
Juelmi;5;bagus;30/12/2025 02:36;
Surya Mayarto;5;"saya suka sekali dengan livin by mandiri terutama cabang depok timur securitynya ramah"" dan baik rispac";30/12/2025 02:34;
mr tanati;2;saya sangat kecewa dengan Aplikasi Livin by Mandiri, Setiap bulan di minta upgred sudah di upgred berulang kali tidak bisa masuk juga. dari kemarin saya sudah upgred sampai hari ini sudah ada 8 kali istal aplikasi sudah ferivikasi juga tapi mau masuk tidak bisa ini maksud nya apa ya ???;30/12/2025 02:18;
Gen Molou;3;min paket kiriman kartu fisik atm saya belum sampe yaa smpe skrg. di apk nya sttus terkirim, tapi penerimanya saya tidak kenal. sampe saat ini kartunya blm ada sama saya.;30/12/2025 01:26;
al kafi;1;dulu hp yang udah cusrom bisa pakai, sekarang gak bisa, agak repot si jadinya;30/12/2025 01:02;
Nina Kurnia;5;Selama aku pakai Livin by mandiri tidak ada kesulitan sama sekali, cuma kalo diatas jam 10 aplikasi Livin by mandiri tidak bisa dibuka karena ada pembaruan apa gtu;30/12/2025 00:22;
Tian Rajendra;1;tolong hilangkan notif tentang hapus aplikasi berbahaya, karna benar benar sangat mengganggu;30/12/2025 00:18;
ElJaelanisolihin jaelani;5;mantep yang terbaik mandiri;30/12/2025 00:14;
rheza mahardika;3;kapan paylatter dibuka kembali? percuma ada aplikasi tp tdk bisa d pakai;30/12/2025 00:13;
Ida Farida;5;sukà sama aplikasi livin.sangat membantu dikeseharian aktifitas sy;29/12/2025 23:46;
Devizalani 821;1;livin error' login gmn ni;29/12/2025 23:26;
Sinta Wati;1;knp gak bisa buka livin dari kemarin ?;29/12/2025 23:26;
radit putra;2;"ga bisa login lupa sandi kartu pisik ga di kirim trus gimana caranya ?""""""""""";29/12/2025 23:21;
Aida Cakrawati;5;aplikasi ini bagus memberikan kemudahan dlm transaksi perbankkan;29/12/2025 21:23;
ramlan maulana;1;pelayanan lelet,kalo tarik duit di atm ga kekuar duitnya tapi saldo berkurang!;29/12/2025 19:16;
Putri Naris;1;sangat menyebalkan.....;29/12/2025 19:11;
AL Gaming;1;apk gajelas saldo tiba tiba ngurang sendiri kocak bngt;29/12/2025 19:04;
Remipius aan Aan;5;oke;29/12/2025 18:48;
053_ Naufal Arif Zain;3;Kenapa pilihan top-up pulsa (Smartfren) dengan nominal 100 ribu dihilangkan? Tolong berikan penjelasan!;29/12/2025 17:05;
Kukuh Pra;1;ini menyedihkan,apakah benar? untuk update versi terbaru ini,livin hanya bisa di jalankan di android minimal versi 9 keatas? soalnya hp saya masih versi 8.1 sudah tidak bisa pakai livin,negitu aplikasi dibuka langsung close otomatis. jika benar,ini sangat² diskriminatif,;29/12/2025 17:05;
Amin Junaydi;1;hp saya versi android 9 kenapa gak bisa;29/12/2025 16:59;
Syukur Syukur;5;tidak bisa mendapatkan sms kode verikasi, karena simcard hp saya hilang,;29/12/2025 16:50;
Alif Soenarko p;4;"kalau maintenance atau perbaikan jangan SE enaknya, yang suka jajan tengah malam mati kutu. orang lagi buru"" malah GK bisa bayar qris masih kukasih bintang 4";29/12/2025 16:08;
Andi Oky;1;apk ribet tp butuh asudahah 😠;29/12/2025 16:06;
