userName;score;content;at;
Lie Patrick;3;data deposito nya g bisa di print;31/12/2025 05:36;
MUHAMMAD YUSUF EMYU;3;ngelek2 ga jelas masa kirim ke dana gabisa;31/12/2025 05:12;
Feri Cristian;5;rekomendasi;31/12/2025 04:48;
Ahmad salim;2;setelah hp rusak malah mau buka Livin aja susah sering ada tulisan permintaan anda tidak dapat diproses;31/12/2025 04:27;
Rani Sungkaswari;4;Ne Livin saya uninstall dari kemarin sampe sekarang masih muter2 dan belum selesai prosesnya hampir 21 jam mohon bantuannya ya;31/12/2025 03:27;
Neldi Danel;5;sangat membantu sekali;31/12/2025 03:17;
Achiejuni Sw;2;Apk jelek banget, bikin pusing gak dibuat simpel dan jelas kya m-banking BCA* gak semua orang itu melek teknologi, jadi tolong sederhanakan APK'nya gausah seribet ini.;31/12/2025 03:12;
Khairul Imam;3;baru kali ini saya kasih bintang 3 masak mau top up ke dana ada adminnya sekarang mau bayar jga sekarang pakai admin kmarin Kmarin gratis aja ko sekarang ada aminnya lama lama pindah ke kubu seblah ni;31/12/2025 02:41;
Ezi Ezi;5;apk nya sudah bagus tapi cuma 1 yang kasih notifikasi khusus dong biar bagus;31/12/2025 02:36;
Aku Herrscher;1;b1 aja lah.. buat pengguna device unlock bootloader setelah di update jd force close payah. padahal ga ada niatan mau ngapa-ngapain sama livin. payah ....;31/12/2025 01:55;
Junaedi Abdillah;5;best offthe best;31/12/2025 01:48;
ALLAH Subhanallah;1;akunku hilang;31/12/2025 01:47;
nikama tusaudah;2;ini kenapa kok susah dibuka, padahal tidak ada suruh update, terpaksa saya kasih rating 2;31/12/2025 01:27;
Andre Adrian Putra;2;Ini product untuk livin point nya kok habis mulu, disuruh ngikutin program MGM tapi pas mau tukar point product nya habis terus;31/12/2025 00:56;
Jovenis Gaming;5;Bagus banget aplikasi ini (⁠≧⁠▽⁠≦⁠) 👍🏻✨✨;31/12/2025 00:39;
Muhammadyasar arzaqi;1;WOY KENAPA GABISA LOGIN SI!!!!! TULISANNYA LAYANAN TIDAK TERSEDIA TERUS!!!!!;31/12/2025 00:24;
Ahmad Baihaqi;3;norak banget sih sekarang kalau mau top up ada iklan asuransi yang menjebak....;31/12/2025 00:15;
Ach Riadi;3;pas penarikan di livin mbangkingnya tidak ada pecahan 50 ribunya;31/12/2025 00:03;
DZAKKIRNA;1;kok ga bisa aktif terus ya😅;30/12/2025 23:27;
Rini Raka;1;enak sih kalo transfer lebih mudah tetapi tiap kali buka harus upgrade;30/12/2025 23:24;
siti hawa;1;kenapa livin saya susah login, selalu ada notif pelayan tidak tersedia untuk sementara;30/12/2025 22:55;
Moh Mursidi;4;livin menjadi yang yerbaik;30/12/2025 22:38;
noer alfi mukarromah;5;Terima kasih atas layanan nya;30/12/2025 22:23;
Ki Alghifary Attambuny;5;luar biasa mandiri;30/12/2025 22:18;
Sutikno S;5;mandiri ok;30/12/2025 22:16;
sur ya;1;apk gaje mau login aja susahnya minta ampun kapok dah make bank mandiri mending pake bri/bca gak seribet ini;30/12/2025 21:59;
Arkan Boy28;5;adanya Livin sangat membantu sekali dalam transaksi. namun Skrang ko ga bisa masuk Sama sekali ya, gagal terus kenapa ya? terus aja coba lagi- coba lagi.. hemm melelahkan;30/12/2025 21:19;
ricky ilhamf;3;ini kenapa sering gagal transaksi kalau malammm hmm;30/12/2025 19:22;
Muhamad Wisnu Danuar;1;aneh kalo jam segini;30/12/2025 19:17;
Iklim Iklim;5;mantap;30/12/2025 17:48;
Ustadz Siregar;1;aplikasi koplak, verifikasi wajah ratusan kali GK bisa bisa, auto uninstal;30/12/2025 17:37;
Alief Putra;1;gak bisa transfer;30/12/2025 16:44;
Septo Yati;1;pemeliharaan setiap hari di jam 11 malam . coba dong kalau maintenance setiap Minggu jangan setiap hari , keganggu banget aktifitt;30/12/2025 16:38;
Leo C;2;sering pemeliharaan sistem, sangat menggangu apalagi mau transaksi mbanking terjadi pemeliharaan sistem...tolong perbaiki ini sangat mengganggu transaksi ga seperti mbangking sebelah yg ga ribet;30/12/2025 16:37;
aura bella viora;1;tolok kebanyakan menten;30/12/2025 16:35;
Sri Yanto;1;kagak jelas tiap malam pemeliharaan;30/12/2025 16:34;
wander prapaskah;1;Cacat;30/12/2025 16:16;
Wandi Marpaung;1;kecewa karena pembayaran saya di tunda, dan tidak ada fitur cs online chat, dan hanya melalui telepon tetapi tidak ada respon, sehingga dana hangus dan tidak dapat pengajuan pengembalian dana karena sistem cs yang super ribet;30/12/2025 15:56;
Faizal Reza;4;sangat bagus;30/12/2025 15:07;
Iden jr;5;sangat lancar;30/12/2025 14:52;
Abdul Rahman Wahab;2;tolong kirim secepatnya no kartu saya belum ada yang kirim entah dari paket entah dari Livin sendiri.;30/12/2025 14:47;
Muhammad Hafizd;5;halo selamat malam saya mau nanya bagaimana cara mengetahui nomor kartu data kredit,karena saya lupa nomor karena saya baru pertama kali memakai aplikasi livin by mandiri ini;30/12/2025 14:22;
Dian pamungkas Pamungkas;5;samgat mudah dan propesional;30/12/2025 13:49;
Vina Nsi;5;tapi saat saya Top up dana selalu gagal entahlah kenapa;30/12/2025 13:24;
Junaidi Abdilah;1;klo mau masuk harus restar hp dulu baru bisa masuk transaksi aplikasi bank tetangga lancar lancar aja ga ada kendala.;30/12/2025 13:14;
Awinner 26;2;gimana sih cara masuk nya ke aplikasi livin,,kalau gk mempunyai kartu fisik?;30/12/2025 13:09;
Kiky Bangko;1;apk GK bisa di daftar;30/12/2025 13:04;
Kinan Kinan8;1;"ngeselin nih update melulu udh mna lemot bgt BKN males mke bank ini lgi di buru""malah lemot Bikin emosi";30/12/2025 13:02;
Budi benkel;5;terimakasih;30/12/2025 12:40;
Rival Lubis;5;apa beda mandiri malaysia indo dengan malysia;30/12/2025 12:30;
attri junianti;5;Mantap;30/12/2025 12:17;
Tsani Elmin;5;jos jis;30/12/2025 11:46;
via puji lestari;2;bagaimana ini livin aplikasi ny gabisa dibuka malah stuck logo di uninstall dftar ulang nya susah😃😃😡;30/12/2025 11:39;
Akoi Yung;1;saya mau mengurus mbanking terblokir tetapi tidak bisa dikarenakan nmr rekening nya tidak ada lagi;30/12/2025 11:29;
Mmh Rina Arzeti Rina;5;ok;30/12/2025 11:20;
Andri Saputra;5;Oke bngat;30/12/2025 11:07;
Angga Saaputraa;5;sangat baik;30/12/2025 10:18;
lukman alwi;1;the best;30/12/2025 10:12;
Suroidah suroidah;5;sangat baik;30/12/2025 10:07;
Indra lismana Indra;1;masak mau pinda aku. ke hp yg satunya malah gk bisa di buka,duru ganti pasword pas di ganti malah gk bisa,perbaiki lagi apk nya;30/12/2025 09:51;
RIZKY YUNICO LOE (YUCO);4;Livin perlu ningkatin egine yang di pake;30/12/2025 09:19;
Veti Veronika;5;bagus;30/12/2025 08:30;
Rahadi Rahman;5;Mandiri mantap;30/12/2025 08:24;
Nur Aisyah;1;repot harus sering perbaharui.. mana loadingnya lamaaaaa;30/12/2025 08:11;
kiki m r;1;rdn sudah berhasil...tp sy tidak menerima info login untuk user id ke email sy...udah berapa jam ga ada enail masuk, dinotifikasinya bilang tunggu berapa menit..duh payah, kalah ma swasta;30/12/2025 08:11;
Adrian Budiarto;1;token 20 rb nya ud gak bisa di livin. payah;30/12/2025 08:10;
madiahafida haqqu;5;ok bagus;30/12/2025 07:55;
Nur Abdi;5;muuuuantap;30/12/2025 07:28;
Dimas Daryanto;5;sangat bagus sangat di permudah untuk urusan transaksi pokok nya bagus mantap👍👍;30/12/2025 07:26;
Iman Maulana;3;Tiba2 tidak bisa login dan disuruh reset dari awal tapi ketika memasukan no hp tidak bisa dilanjut karena sedang perbaikam sistem,tolong penanganannya karena sedang urgensi;30/12/2025 07:18;
Chelsea Rossa Aprilia;2;knapa setiap transaksi selalu gagal udah gitu saldo kepotong, say transaksi pulsa tadi pagi malah ga masuk;30/12/2025 07:14;
Budiyono Yono;5;ok banget ni aplksnya?pertahanin ok? pokokny the best lah;30/12/2025 06:17;
Sup riadi;1;sistem operasi tidak mendukung, mohon di perbaiki lagi, saya menggunakan sistem yang sudah update ke Android 16 knp tidak bisa di gunakan..;30/12/2025 06:06;
Dini Huriani;5;bank favorit;30/12/2025 05:58;
Dauf Francisco;5;keren mantap;30/12/2025 05:58;
Muhammad Erwin;3;upgrade Mulu;30/12/2025 05:47;
